rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2606.09630v1,ReCoVLA: VLM-Guided Reward Compilation for Failure Recovery in Vision-Language-Action Policies,2026,arXiv,http://arxiv.org/abs/2606.09630v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/plants14050634,Compliant Motion Planning Integrating Human Skill for Robotic Arm Collecting Tomato Bunch Based on Improved DDPG,2025,Plants,https://doi.org/10.3390/plants14050634,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1609/aaai.v37i1.25225,CLIP-ReID: Exploiting Vision-Language Model for Image Re-identification without Concrete Text Labels,2023,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v37i1.25225,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.3390/sym18030394,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,2026,Symmetry,https://doi.org/10.3390/sym18030394,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.31224/4295,Forecasting Long-term Spatial-temporal Dynamics with Generative Transformer Networks,,,https://doi.org/10.31224/4295,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.64898/2026.05.25.727760,Evaluating Long-Range Temporal Structure in Foundation Model-Based Forecasts of Heartbeat Dynamics,,,https://doi.org/10.64898/2026.05.25.727760,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1109/cvpr52734.2025.00315,BOLT: Boost Large Vision-Language Model Without Training for Long-Form Video Understanding,2025,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),https://doi.org/10.1109/cvpr52734.2025.00315,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.48550/arxiv.2009.12293,Multi-Stage Learning for Grasp-Constrained Object Manipulation with a Simulated Panda Robot,2020,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2009.12293,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1145/3746027.3755697,From Captions to Rewards (CaReVL): Leveraging Large Language Model Experts for Enhanced Reward Modeling in Large Vision-Language Models,2025,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3746027.3755697,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1177/0278364910386986,Motion planning under uncertainty for robotic tasks with long time horizons,2011,The International Journal of Robotics Research,https://doi.org/10.1177/0278364910386986,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
11,arxiv:2410.17188v2,Minimum-Violation Temporal Logic Planning for Heterogeneous Robots under Robot Skill Failures,2024,arXiv,http://arxiv.org/abs/2410.17188v2,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
12,arxiv:2509.13780v1,Behavior Foundation Model for Humanoid Robots,2025,arXiv,http://arxiv.org/abs/2509.13780v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.1016/j.cviu.2021.103242,Long term spatio-temporal modeling for action detection,2021,Computer Vision and Image Understanding,https://doi.org/10.1016/j.cviu.2021.103242,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.3390/electronics15091919,Fractional–Temporal Lorentz Graph Networks: Integrating Physical Memory into Dynamic Knowledge Reasoning,2026,Electronics,https://doi.org/10.3390/electronics15091919,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.1109/iros60139.2025.11246902,Policy Learning from Large Vision-Language Model Feedback Without Reward Modeling,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros60139.2025.11246902,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1049/cvi2.12086,Temporal‐enhanced graph convolution network for skeleton‐based action recognition,2022,IET Computer Vision,https://doi.org/10.1049/cvi2.12086,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
17,arxiv:2407.14872v1,Adapt2Reward: Adapting Video-Language Models to Generalizable Robotic Rewards via Failure Prompts,2024,arXiv,http://arxiv.org/abs/2407.14872v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
18,arxiv:2402.11871v6,From Real World to Logic and Back: Learning Generalizable Relational Concepts For Long Horizon Robot Planning,2024,arXiv,http://arxiv.org/abs/2402.11871v6,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.1093/eurheartj/ehaf784.1288,SGLT2i and ARNI improve long-term heart failure outcomes: a multi-state model analysis from a real-world southeast asian cohort,2025,European Heart Journal,https://doi.org/10.1093/eurheartj/ehaf784.1288,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
20,doi:10.21203/rs.3.rs-9525948/v1,"Domain-Generalizable Emotion Recognition across Social Media, Sitcom Dialogues, and Online Video Transcripts via Large Language Model-Guided Invariant Emotion Explanations",,,https://doi.org/10.21203/rs.3.rs-9525948/v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
21,arxiv:2604.05831v1,BiCoord: A Bimanual Manipulation Benchmark towards Long-Horizon Spatial-Temporal Coordination,2026,arXiv,http://arxiv.org/abs/2604.05831v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
22,arxiv:2511.14659v1,NORA-1.5: A Vision-Language-Action Model Trained using World Model- and Action-based Preference Rewards,2025,arXiv,http://arxiv.org/abs/2511.14659v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
23,arxiv:2506.19850v1,Unified Vision-Language-Action Model,2025,arXiv,http://arxiv.org/abs/2506.19850v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.1016/j.nahs.2024.101556,Secure control for uncertain nonlinear cyber–physical systems: A prescribed-time scheme based on temporal scaling,2025,Nonlinear Analysis: Hybrid Systems,https://doi.org/10.1016/j.nahs.2024.101556,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.3389/fnbot.2024.1457843,LS-VIT: Vision Transformer for action recognition based on long and short-term temporal difference,2024,Frontiers in Neurorobotics,https://doi.org/10.3389/fnbot.2024.1457843,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.3389/fnbot.2026.1846433,ST-HADP: Spatio-Temporal hierarchical attention diffusion policy for long-horizon generalizable bimanual visuomotor imitation,2026,Frontiers in Neurorobotics,https://doi.org/10.3389/fnbot.2026.1846433,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
27,arxiv:2011.08177v1,A Long Horizon Planning Framework for Manipulating Rigid Pointcloud Objects,2020,arXiv,http://arxiv.org/abs/2011.08177v1,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.2139/ssrn.6497861,EdgeCraft: Dynamic Sparse Graph Learning for Spatio-Temporal Traffic Forecasting,,,https://doi.org/10.2139/ssrn.6497861,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
29,doi:10.48550/arxiv.2411.02385,How Far is Video Generation from World Model: A Physical Law Perspective,2024,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2411.02385,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1609/aaai.v40i29.39677,Continuous Vision-Language-Action Co-Learning with Semantic-Physical Alignment for Behavioral Cloning,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i29.39677,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,2025,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2025.ast27134,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.66967/jaics.2026.v2i103,Multimodal AI: PaLM-E’s Role in Vision–Language–Robotics & the Future of Efficient Fine-Tuning,2026,Journal of Artificial Intelligence & Control Systems,https://doi.org/10.66967/jaics.2026.v2i103,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.1007/978-3-642-19457-3_10,Motion Planning under Uncertainty for Robotic Tasks with Long Time Horizons,2011,Springer Tracts in Advanced Robotics Robotics Research,https://doi.org/10.1007/978-3-642-19457-3_10,Addresses robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Temporal credit without rewards keeps action-critical alternatives explicit until a physical observation collapses them.
